Gene name	Module
AT1G10100	Magenta
AT1G10110	Black
AT1G10120	Blue
AT1G10130	Brown
AT1G10140	Red
AT1G10150	Turquoise
AT1G10155	Green
AT1G10160	Grey
AT1G10170	Lightgreen
AT1G10180	Blue
AT1G10190	Tan
AT1G10200	Purple
AT1G10210	Green
AT1G10220	Grey
AT1G10230	Yellow
AT1G10240	Blue
AT1G10250	Darkturquoise
AT1G10260	Grey60
AT1G10270	Yellow
AT1G10280	Grey
AT1G10290	Brown
AT1G10300	Salmon
AT1G10310	Purple
AT1G10320	Grey
AT1G10330	Yellow
AT1G10340	Green
AT1G10350	Grey
AT1G10360	Turquoise
AT1G10370	Grey
AT1G10380	Brown
AT1G10385	Darkgrey
AT1G10390	Grey
AT1G10400	Brown
AT1G10410	Red
AT1G10417	Grey
AT1G10430	Green
AT1G10450	Yellow
AT1G10455	Cyan
AT1G10460	Brown
AT1G10470	Grey
AT1G10480	Brown
AT1G10490	Yellow
AT1G10500	Turquoise
AT1G10510	Purple
AT1G10520	Yellow
AT1G10522	Royalblue
AT1G10530	Brown
AT1G10540	Salmon
AT1G10550	Grey
AT1G10560	Magenta
AT1G10570	Grey
AT1G10580	Yellow
AT1G10585	Lightgreen
AT1G10586	Red
AT1G10588	Cyan
AT1G10590	Greenyellow
AT1G10600	Turquoise
AT1G10610	Turquoise
AT1G10620	Magenta
AT1G10630	Greenyellow
AT1G10640	Blue
AT1G10650	Grey
AT1G10657	Purple
AT1G10660	Turquoise
AT1G10670	Greenyellow
AT1G10680	Tan
AT1G10682	Brown
AT1G10690	Grey
AT1G10700	Grey
AT1G10705	Cyan
AT1G10710	Grey
AT1G10717	Tan
AT1G10720	Green
AT1G10730	Grey
AT1G10740	Magenta
AT1G10745	Tan
AT1G10747	Black
AT1G10750	Blue
AT1G10760	Turquoise
AT1G10770	Magenta
AT1G10780	Blue
AT1G10790	Tan
AT1G10800	Grey
AT1G10810	Brown
AT1G10820	Blue
AT1G10830	Purple
AT1G10840	Greenyellow
AT1G10850	Blue
AT1G10865	Red
AT1G10870	Blue
AT1G10880	Pink
AT1G10890	Red
AT1G10900	Brown
AT1G10910	Purple
AT1G10920	Green
AT1G10930	Blue
AT1G10940	Red
AT1G10950	Greenyellow
AT1G10960	Turquoise
AT1G10970	Grey
AT1G10980	Salmon
AT1G10990	Green
AT1G11000	Blue
AT1G11020	Salmon
AT1G11040	Magenta
AT1G11050	Red
AT1G11055	Red
AT1G11060	Grey
AT1G11070	Pink
AT1G11080	Grey
AT1G11090	Pink
AT1G11100	Salmon
AT1G11110	Lightyellow
AT1G11112	Blue
AT1G11120	Blue
AT1G11125	Blue
AT1G11130	Blue
AT1G11145	Pink
AT1G11160	Blue
AT1G11170	Grey
AT1G11175	Red
AT1G11180	Turquoise
AT1G11185	Red
AT1G11190	Grey
AT1G11200	Grey
AT1G11210	Red
AT1G11220	Blue
AT1G11230	Orange
AT1G11240	Yellow
AT1G11250	Magenta
AT1G11260	Grey
AT1G11270	Black
AT1G11280	Blue
AT1G11290	Royalblue
AT1G11300	Grey
AT1G11310	Green
AT1G11320	Yellow
AT1G11330	Green
AT1G11340	Turquoise
AT1G11350	Turquoise
AT1G11360	Grey
AT1G11362	Cyan
AT1G11370	Cyan
AT1G11380	Grey
AT1G11390	Yellow
AT1G11400	Grey
AT1G11410	Turquoise
AT1G11420	Pink
AT1G11430	Purple
AT1G11440	Turquoise
AT1G11450	Brown
AT1G11460	Brown
AT1G11470	Black
AT1G11475	Yellow
AT1G11480	Grey
AT1G11482	Brown
AT1G11490	Brown
AT1G11500	Grey
AT1G11510	Black
AT1G11520	Grey
AT1G11530	Turquoise
AT1G11540	Brown
AT1G11545	Blue
AT1G11560	Lightcyan
AT1G11570	Grey
AT1G11572	Magenta
AT1G11580	Brown
AT1G11590	Tan
AT1G11592	Grey
AT1G11593	Tan
AT1G11595	Tan
AT1G11600	Cyan
AT1G11608	Black
AT1G11610	Lightcyan
AT1G11620	Black
AT1G11630	Yellow
AT1G11650	Greenyellow
AT1G11655	Brown
AT1G11660	Yellow
AT1G11670	Blue
AT1G11680	Greenyellow
AT1G11684	Tan
AT1G11690	Tan
AT1G11700	Turquoise
AT1G11710	Yellow
AT1G11720	Turquoise
AT1G11730	Blue
AT1G11735	Grey
AT1G11740	Blue
AT1G11750	Turquoise
AT1G11755	Black
AT1G11760	Salmon
AT1G11765	Magenta
AT1G11770	Magenta
AT1G11780	Yellow
AT1G11785	Red
AT1G11790	Purple
AT1G11800	Yellow
AT1G11810	Tan
AT1G11820	Purple
AT1G11840	Greenyellow
AT1G11850	Purple
AT1G11860	Turquoise
AT1G11870	Purple
AT1G11880	Grey
AT1G11890	Greenyellow
AT1G11900	Grey
AT1G11905	Tan
AT1G11910	Greenyellow
AT1G11915	Grey
AT1G11920	Brown
AT1G11925	Lightgreen
AT1G11930	Turquoise
AT1G11940	Salmon
AT1G11950	Grey
AT1G11960	Red
AT1G11980	Black
AT1G11990	Magenta
AT1G12000	Blue
AT1G12010	Pink
AT1G12013	Midnightblue
AT1G12015	Midnightblue
AT1G12020	Purple
AT1G12030	Grey
AT1G12040	Brown
AT1G12050	Pink
AT1G12060	Purple
AT1G12064	Darkred
AT1G12070	Magenta
AT1G12080	Blue
